Size,TableCatalog,TableSchema,TableName,ColumnName,OldDataType,NewDataType
SMALL,Messages,dbo,tblMailbox,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,clim_coas_back,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,clim_coas_back,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,clim_coas_back2,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,clim_coas_back2,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,diff_tblEmplNames_Depts,Department,smallint,int
SMALL,TimeCurrent,dbo,diff_tblEmplSites,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,diff_tblEmplSites_Depts,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,diff_tblEmplSites_Depts,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tbl_DAVT_GroupDeptsPre802011,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblAdjustments,OrigRecord_No,int,bigint
SMALL,TimeCurrent,dbo,tblAdjustments,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblAdjustments,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblAdjustments,THDRecordID,int,bigint
SMALL,TimeCurrent,dbo,tblClientDeptXref,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblClientDeptXref,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblClientDeptXref,ActualSiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblClusterDef,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblClusterDef,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblDavitaUploadCodes,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblDavitaUploadCodes_Parallel,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblDAVT_UploadCodes,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblDAVT_UploadCodes_Audit,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblDAVT_UploadCodes2,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblDeptShiftChange,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblDeptShiftDiffs,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblDeptShiftDiffs_DAVT,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblDeptShifts,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblDeptShifts_Audit2,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblDeptShifts_DAVT,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplAllocation,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplAllocation_Session,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplAllocation_WORK,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplAssignments_SESSION,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplChange,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplChangeSSN,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplClass,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplMissingPunchAlert,THDRecordId,int,bigint
SMALL,TimeCurrent,dbo,tblEmplNames,PrimarySite,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames,PrimaryDept,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_Audit,PrimarySite,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_Audit,PrimaryDept,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_Audit2,PrimarySite,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_Audit2,PrimaryDept,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_Depts_Audit,Department,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_Depts_Audit2,Department,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_Depts_Duplicates,Department,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_Depts_SESSION,Department,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_Depts_Template,Department,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_SESSION,PrimarySite,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames_SESSION,PrimaryDept,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames2,PrimarySite,smallint,int
SMALL,TimeCurrent,dbo,tblEmplNames2,PrimaryDept,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Audit,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Audit2,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Depts_Audit,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Depts_Audit,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Depts_Audit2,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Depts_Audit2,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Depts_SESSION,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Depts_SESSION,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Depts_Template,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Depts_Template,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_SESSION,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblEmplSites_Template,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblendava,Deptno,smallint,int
SMALL,TimeCurrent,dbo,tblGroupDepts,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblJobOrders,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblMCRequestDetail,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblMCRequestDetail,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblNotificationMessage,THDRecordId,int,bigint
SMALL,TimeCurrent,dbo,tblOrderTemplates,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblOrderTemplates,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblPATETxn,THDRecordId,int,bigint
SMALL,TimeCurrent,dbo,tblPayRules,PrimarySite,smallint,int
SMALL,TimeCurrent,dbo,tblPayRules,PrimaryDept,smallint,int
SMALL,TimeCurrent,dbo,tblRedirEmpDepts,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblSaliBudgetHours,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblSaliBudgetHours,DeptNo,tinyint,int
SMALL,TimeCurrent,dbo,tblSaliBudgetHoursTemp,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblSaliBudgetHoursTemp,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblShiftDiffClasses,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblSiteNames,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblSiteNames,UploadAsSiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblSiteNames,DefaultDeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblSiteNames_GeoLocation,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblSiteNames_Messages,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblSiteNamesIPRestriction,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblSiteNamesPhoneNumbers,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblSiteParm_Values,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblStdJobTemplates,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblStdJobTemplates,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblTempoDataLoadSnapShot,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,tblWORK_DeptShiftDiffs,DeptNo,smallint,int
SMALL,TimeCurrent,dbo,tblWork_Waff,SiteNo,smallint,int
SMALL,TimeCurrent,dbo,zz_tblEmplNames,PrimarySite,smallint,int
SMALL,TimeCurrent,dbo,zz_tblEmplNames,PrimaryDept,smallint,int
SMALL,TimeCurrent,processor,tblDeptShiftDiffs_DAVT2,DeptNo,smallint,int
SMALL,TimeCurrent,processor,tblDeptShifts_DAVT2,DeptNo,smallint,int
SMALL,TimeHistory,dbo,ADVOlegal,PrimaryDept,smallint,int
SMALL,TimeHistory,dbo,ADVOlegal,DeptNo,smallint,int
SMALL,TimeHistory,dbo,ADVOlegal,SiteNo,smallint,int
SMALL,TimeHistory,dbo,Extract_Hashbytes_MatchingTable,RecordID,int,bigint
SMALL,TimeHistory,dbo,OLSTLegal,PrimaryDept,smallint,int
SMALL,TimeHistory,dbo,OLSTLegal,DeptNo,smallint,int
SMALL,TimeHistory,dbo,OLSTLegal,SiteNo,smallint,int
SMALL,TimeHistory,dbo,STFMCompassBank,siteno,smallint,int
SMALL,TimeHistory,dbo,STFMCompassBank,deptno,smallint,int
SMALL,TimeHistory,dbo,STFMCompassBank,newdept,smallint,int
SMALL,TimeHistory,dbo,tblAdjustments,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblAdjustments,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblBudgetData,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblCIAHistory_DAVT,WorkedSiteNo,smallint,int
SMALL,TimeHistory,dbo,tblCIAHistory_DAVT,PrimarySiteNo,smallint,int
SMALL,TimeHistory,dbo,tblCOAS_Screwup2,deptno,smallint,int
SMALL,TimeHistory,dbo,tblDataFormStatus,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblDataFormValues,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblDeptShifts,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblEmplClass,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblEmplShifts,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblEmplShifts,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblExpenseLineItems,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblExpenseLineItems,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblFixedPunchByEE,RecordID,int,bigint
SMALL,TimeHistory,dbo,tblFixPunchAudit,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblFixPunchAudit,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblFixPunchAudit,OrigRecordID,int,bigint
SMALL,TimeHistory,dbo,tblGambroUploads,SiteWorkedAt,smallint,int
SMALL,TimeHistory,dbo,tblGambroUploads,HomeSite,smallint,int
SMALL,TimeHistory,dbo,tblGambroUploads,SiteChargedTo,smallint,int
SMALL,TimeHistory,dbo,tblGambroUploads,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblImportLog,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblKronosPunchExport,THDRecordId,int,bigint
SMALL,TimeHistory,dbo,tblKronosPunchExport_Audit,THDRecordId,int,bigint
SMALL,TimeHistory,dbo,tblPunchImport,InSite,smallint,int
SMALL,TimeHistory,dbo,tblPunchImport,OutSite,smallint,int
SMALL,TimeHistory,dbo,tblPunchImport,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblStaffingApproval_THD,THDRecordId,int,bigint
SMALL,TimeHistory,dbo,tblSTAFRevman_Extract,RecordID,int,bigint
SMALL,TimeHistory,dbo,tblStdJobCellEmployees,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblStdJobs,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblStdJobs,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblStdJobs_Audit,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblStdJobs_Audit,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeCards_Control_DELETE,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeCards_Control_DELETE,DeptNo,tinyint,int
SMALL,TimeHistory,dbo,tblTimeCards_DELETE,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeCards_DELETE,DeptNo,tinyint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_backup,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_backup,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_BackupApproval,THDRecordId,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_Crossover,FromRecordID,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_Crossover,ToRecordID,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_DELETED,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_DELETED,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_Disputes,DetailRecordID,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_Faxaroo,THD_RecordId,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_GeoLocation,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_Orig,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_Orig,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_Partial,RecordID,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_Partial,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_Partial,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_Partial,AprvlAdjOrigRecID,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_Partial,ClkTransNo,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_Partial,DivisionID,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_PATE,THDRecordID,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_Reasons,AdjustmentRecordID,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_UDF,THDRecordID,int,bigint
SMALL,TimeHistory,dbo,tblTimeHistDetail_ZeroSite,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblTimeHistDetail_ZeroSite,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblWork_KronosExport,THDRecordId,int,bigint
SMALL,TimeHistory,dbo,tblWork_TimeHistDetail,RecordID,int,bigint
SMALL,TimeHistory,dbo,tblWork_TimeHistDetail,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblWork_TimeHistDetail,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblWork_TimeHistDetail2,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblWork_TimeHistDetail2,DeptNo,smallint,int
SMALL,TimeHistory,dbo,tblWTE_Project_Archive,SiteNo,smallint,int
SMALL,TimeHistory,dbo,tblWTE_Spreadsheet_Breaks,InOutId,int,bigint
SMALL,TimeHistory,dbo,VANGlegal,PrimaryDept,smallint,int
SMALL,TimeHistory,dbo,VANGlegal,DeptNo,smallint,int
SMALL,TimeHistory,dbo,VANGlegal,SiteNo,smallint,int
SMALL,TimeHistory,dbo,zzJimResearch_TimeHistDetail,SiteNo,smallint,int
SMALL,TimeHistory,dbo,zzJimResearch_TimeHistDetail,DeptNo,smallint,int
SMALL,TimeHistory,processor,tblCOAS_Screwup,deptno,smallint,int
SMALL,TimeHistory,processor,tblTimeHistDetail_COAS_post,SiteNo,smallint,int
SMALL,TimeHistory,processor,tblTimeHistDetail_COAS_post,DeptNo,smallint,int
SMALL,TimeHistory,processor,tblTimeHistDetail_COAS_pre,SiteNo,smallint,int
SMALL,TimeHistory,processor,tblTimeHistDetail_COAS_pre,DeptNo,smallint,int
